,start_location_lat,start_location_long,created_date,period,time_of_day
8793,30.282586,-97.707999,2016-07-04 01:45:55,3,0 days 01:45:55.000000000
8795,30.345033,-97.772168,2016-07-04 01:47:24,3,0 days 01:47:24.000000000
8796,30.264314,-97.764104,2016-07-04 01:47:44,3,0 days 01:47:44.000000000
8797,30.275665,-97.762676,2016-07-04 01:47:49,3,0 days 01:47:49.000000000
8798,30.294978,-97.783839,2016-07-04 01:48:34,3,0 days 01:48:34.000000000
8799,30.254147,-97.747667,2016-07-04 01:49:15,3,0 days 01:49:15.000000000
8800,30.260311,-97.738037,2016-07-04 01:51:44,3,0 days 01:51:44.000000000
8801,30.321872,-97.724034,2016-07-04 01:53:50,3,0 days 01:53:50.000000000
8802,30.24671,-97.760936,2016-07-04 01:56:20,3,0 days 01:56:20.000000000
8803,30.19296,-97.774361,2016-07-04 01:56:38,3,0 days 01:56:38.000000000
8804,30.258961,-97.795012,2016-07-04 01:56:43,3,0 days 01:56:43.000000000
8805,30.261623,-97.725827,2016-07-04 01:57:11,3,0 days 01:57:11.000000000
8806,30.217854,-97.733537,2016-07-04 01:59:30,3,0 days 01:59:30.000000000
8807,30.265457,-97.736901,2016-07-04 01:59:34,3,0 days 01:59:34.000000000
8808,30.334049,-97.780721,2016-07-04 02:04:17,4,0 days 02:04:17.000000000
8809,30.275837,-97.758085,2016-07-04 02:06:19,4,0 days 02:06:19.000000000
8810,30.315072,-97.733166,2016-07-04 02:08:47,4,0 days 02:08:47.000000000
8811,30.261158,-97.774267,2016-07-04 02:09:11,4,0 days 02:09:11.000000000
8812,30.270508,-97.734335,2016-07-04 02:10:42,4,0 days 02:10:42.000000000
8813,30.234778,-97.776932,2016-07-04 02:12:05,4,0 days 02:12:05.000000000
8814,30.258677,-97.738654,2016-07-04 02:12:25,4,0 days 02:12:25.000000000
8815,30.25586,-97.799226,2016-07-04 02:13:43,4,0 days 02:13:43.000000000
8816,30.321971,-97.710419,2016-07-04 02:13:55,4,0 days 02:13:55.000000000
8817,30.299402,-97.756463,2016-07-04 02:14:17,4,0 days 02:14:17.000000000
8819,30.231426,-97.759549,2016-07-04 02:16:02,4,0 days 02:16:02.000000000
8820,30.268828,-97.753592,2016-07-04 02:17:22,4,0 days 02:17:22.000000000
8821,30.243498,-97.727203,2016-07-04 02:17:37,4,0 days 02:17:37.000000000
8822,30.268828,-97.753592,2016-07-04 02:17:42,4,0 days 02:17:42.000000000
8823,30.282076,-97.738148,2016-07-04 02:18:11,4,0 days 02:18:11.000000000
8824,30.211282,-97.73602,2016-07-04 02:22:32,4,0 days 02:22:32.000000000
8825,30.350735,-97.775052,2016-07-04 02:22:42,4,0 days 02:22:42.000000000
8826,30.33815,-97.719043,2016-07-04 02:23:23,4,0 days 02:23:23.000000000
8827,30.392549,-97.744698,2016-07-04 02:24:03,4,0 days 02:24:03.000000000
8828,30.247052,-97.737408,2016-07-04 02:25:38,4,0 days 02:25:38.000000000
8829,30.236844,-97.783632,2016-07-04 02:25:42,4,0 days 02:25:42.000000000
8830,30.263118,-97.762325,2016-07-04 02:26:04,4,0 days 02:26:04.000000000
8831,30.258491,-97.789055,2016-07-04 02:27:32,4,0 days 02:27:32.000000000
8832,30.255936,-97.703257,2016-07-04 02:28:01,4,0 days 02:28:01.000000000
8833,30.260052,-97.739111,2016-07-04 02:28:49,4,0 days 02:28:49.000000000
8834,30.265656,-97.748781,2016-07-04 02:29:35,4,0 days 02:29:35.000000000
8835,30.254147,-97.747667,2016-07-04 02:30:25,4,0 days 02:30:25.000000000
8836,30.33825,-97.718893,2016-07-04 02:31:28,5,0 days 02:31:28.000000000
8837,30.243519,-97.752452,2016-07-04 02:32:30,5,0 days 02:32:30.000000000
8838,30.260652,-97.747058,2016-07-04 02:32:52,5,0 days 02:32:52.000000000
8839,30.355464,-97.732729,2016-07-04 02:33:24,5,0 days 02:33:24.000000000
8840,30.242832,-97.722999,2016-07-04 02:33:29,5,0 days 02:33:29.000000000
8841,30.258772,-97.738484,2016-07-04 02:34:23,5,0 days 02:34:23.000000000
8842,30.319407,-97.755025,2016-07-04 02:35:13,5,0 days 02:35:13.000000000
8843,30.266255,-97.740658,2016-07-04 02:35:30,5,0 days 02:35:30.000000000
8844,30.319407,-97.755025,2016-07-04 02:35:59,5,0 days 02:35:59.000000000
8845,30.290104,-97.743287,2016-07-04 02:36:25,5,0 days 02:36:25.000000000
8846,30.29993,-97.73183,2016-07-04 02:36:33,5,0 days 02:36:33.000000000
8847,30.239285,-97.724629,2016-07-04 02:36:48,5,0 days 02:36:48.000000000
8848,30.307821,-97.723335,2016-07-04 02:36:51,5,0 days 02:36:51.000000000
8849,30.319407,-97.755025,2016-07-04 02:36:52,5,0 days 02:36:52.000000000
8850,30.250755,-97.754292,2016-07-04 02:37:27,5,0 days 02:37:27.000000000
8851,30.260868,-97.746865,2016-07-04 02:37:44,5,0 days 02:37:44.000000000
8852,30.287941,-97.742366,2016-07-04 02:38:50,5,0 days 02:38:50.000000000
8853,30.256395,-97.723271,2016-07-04 02:38:53,5,0 days 02:38:53.000000000
8854,30.251096,-97.725676,2016-07-04 02:40:18,5,0 days 02:40:18.000000000
8855,30.256395,-97.723271,2016-07-04 02:40:41,5,0 days 02:40:41.000000000
8856,30.256395,-97.723271,2016-07-04 02:41:02,5,0 days 02:41:02.000000000
8857,30.25557,-97.745969,2016-07-04 02:42:33,5,0 days 02:42:33.000000000
8858,30.286126,-97.710448,2016-07-04 02:42:49,5,0 days 02:42:49.000000000
8859,30.257755,-97.727105,2016-07-04 02:43:41,5,0 days 02:43:41.000000000
8860,30.252983,-97.721237,2016-07-04 02:45:47,5,0 days 02:45:47.000000000
8861,30.264178,-97.746218,2016-07-04 02:46:11,5,0 days 02:46:11.000000000
8862,30.36003,-97.734849,2016-07-04 02:46:22,5,0 days 02:46:22.000000000
8863,30.264178,-97.746218,2016-07-04 02:46:39,5,0 days 02:46:39.000000000
8864,30.311452,-97.713461,2016-07-04 02:47:00,5,0 days 02:47:00.000000000
8865,30.265793,-97.747013,2016-07-04 02:47:03,5,0 days 02:47:03.000000000
8866,30.265417,-97.746448,2016-07-04 02:49:30,5,0 days 02:49:30.000000000
8867,30.241314,-97.7846,2016-07-04 02:51:35,5,0 days 02:51:35.000000000
8868,30.265495,-97.748041,2016-07-04 02:51:45,5,0 days 02:51:45.000000000
8869,30.252257,-97.74838,2016-07-04 02:52:39,5,0 days 02:52:39.000000000
8870,30.235207,-97.733583,2016-07-04 02:53:58,5,0 days 02:53:58.000000000
8871,30.264743,-97.745573,2016-07-04 02:53:58,5,0 days 02:53:58.000000000
8872,30.27012,-97.682489,2016-07-04 02:55:31,5,0 days 02:55:31.000000000
8873,30.331028,-97.739966,2016-07-04 02:56:37,5,0 days 02:56:37.000000000
8874,30.25035,-97.749123,2016-07-04 02:57:51,5,0 days 02:57:51.000000000
8875,30.231029,-97.765576,2016-07-04 02:58:55,5,0 days 02:58:55.000000000
8876,30.321901,-97.710332,2016-07-04 02:58:57,5,0 days 02:58:57.000000000
8877,30.224414,-97.73923,2016-07-04 02:59:34,5,0 days 02:59:34.000000000
8878,30.280187,-97.7699,2016-07-04 03:01:36,6,0 days 03:01:36.000000000
8879,30.362894,-97.758914,2016-07-04 03:03:03,6,0 days 03:03:03.000000000
8880,30.287752,-97.7445,2016-07-04 03:03:19,6,0 days 03:03:19.000000000
8881,30.362989,-97.758902,2016-07-04 03:03:32,6,0 days 03:03:32.000000000
8882,30.280383,-97.770056,2016-07-04 03:03:34,6,0 days 03:03:34.000000000
8883,30.328092,-97.718344,2016-07-04 03:03:45,6,0 days 03:03:45.000000000
8884,30.262435,-97.774198,2016-07-04 03:05:07,6,0 days 03:05:07.000000000
8885,30.289804,-97.771332,2016-07-04 03:05:16,6,0 days 03:05:16.000000000
8886,30.239672,-97.773634,2016-07-04 03:06:12,6,0 days 03:06:12.000000000
8887,30.262435,-97.774198,2016-07-04 03:06:19,6,0 days 03:06:19.000000000
8888,30.362989,-97.758902,2016-07-04 03:06:35,6,0 days 03:06:35.000000000
8889,30.239638,-97.773667,2016-07-04 03:07:06,6,0 days 03:07:06.000000000
8890,30.267039,-97.744471,2016-07-04 03:07:14,6,0 days 03:07:14.000000000
8891,30.267039,-97.744471,2016-07-04 03:08:03,6,0 days 03:08:03.000000000
8892,30.295078,-97.783799,2016-07-04 03:08:12,6,0 days 03:08:12.000000000
8893,30.259679,-97.747879,2016-07-04 03:08:42,6,0 days 03:08:42.000000000
8894,30.28347,-97.746369,2016-07-04 03:09:16,6,0 days 03:09:16.000000000
8895,30.295133,-97.784444,2016-07-04 03:09:37,6,0 days 03:09:37.000000000
8896,30.356744,-97.73118,2016-07-04 03:11:33,6,0 days 03:11:33.000000000
8897,30.239775,-97.773843,2016-07-04 03:12:08,6,0 days 03:12:08.000000000
8898,30.341228,-97.738555,2016-07-04 03:13:26,6,0 days 03:13:26.000000000
8899,30.329659,-97.739024,2016-07-04 03:13:58,6,0 days 03:13:58.000000000
8900,30.362989,-97.758902,2016-07-04 03:17:06,6,0 days 03:17:06.000000000
8901,30.251869,-97.782276,2016-07-04 03:17:26,6,0 days 03:17:26.000000000
8902,30.362989,-97.758902,2016-07-04 03:17:34,6,0 days 03:17:34.000000000
